date_stamp;anger_intensity;fear_intensity;sadness_intensity;joy_intensity;hospitalized_cum;hospitalized;death_cum;death;recovered_cum;recovered;cases_cum;cases
01/28/2020;0.444940378;0.506288961;0.430167946;0.284771547;0;0;0;0;0;0;44;44
01/29/2020;0.447988459;0.493581272;0.426412854;0.289042225;0;0;0;0;0;0;45;1
01/30/2020;0.446620128;0.492122963;0.426977747;0.290846745;0;0;0;0;0;0;47;2
01/31/2020;0.447245;0.491296033;0.426351319;0.28863579;0;0;0;0;0;0;51;4
02/01/2020;0.443589911;0.483847619;0.420860452;0.289790234;0;0;0;0;0;0;55;4
02/02/2020;0.444982356;0.491868383;0.425278875;0.289941917;0;0;210;210;0;0;598;543
02/03/2020;0.438263884;0.493258816;0.422189151;0.294725763;0;0;210;0;0;0;630;32
02/04/2020;0.437914662;0.491388527;0.422116511;0.293251393;0;0;210;0;0;0;637;7
02/05/2020;0.43803906;0.496849464;0.424432596;0.290448324;0;0;210;0;0;0;642;5
02/06/2020;0.433728413;0.504550657;0.427087765;0.293374115;0;0;210;0;0;0;642;0
02/07/2020;0.448157323;0.509375613;0.440093477;0.279161906;0;0;210;0;0;0;647;5
02/08/2020;0.443818674;0.496395384;0.430848228;0.286823031;0;0;211;1;0;0;654;7
02/09/2020;0.443848295;0.498317692;0.432675751;0.284973186;0;0;211;0;0;0;689;35
02/10/2020;0.446191015;0.501134464;0.435374175;0.281020264;0;0;211;0;0;0;697;8
02/11/2020;0.444454339;0.486895594;0.4219502;0.289641255;0;0;211;0;0;0;705;8
02/12/2020;0.4322141;0.460914337;0.405617744;0.305162046;0;0;211;0;0;0;715;10
02/13/2020;0.43596332;0.466757071;0.409539953;0.304772014;0;0;211;0;0;0;720;5
02/14/2020;0.437846848;0.468799602;0.411773192;0.302982216;0;0;211;0;0;0;727;7
02/15/2020;0.433602161;0.466673707;0.409240177;0.305917649;0;0;211;0;0;0;732;5
02/16/2020;0.436257704;0.46087105;0.408295584;0.306357017;0;0;211;0;0;0;742;10
02/17/2020;0.43596848;0.45921703;0.402573781;0.308873451;0;0;211;0;0;0;760;18
02/18/2020;0.437468211;0.481878367;0.420221444;0.297236261;0;0;211;0;0;0;767;7
02/19/2020;0.433280922;0.469977392;0.411974767;0.303333868;0;0;212;1;0;0;783;16
02/20/2020;0.437034895;0.471137641;0.412304847;0.30088643;0;0;212;0;0;0;795;12
02/21/2020;0.436636012;0.480653084;0.416570462;0.293871638;0;0;212;0;0;0;813;18
02/22/2020;0.435896593;0.481838613;0.415617454;0.293835625;0;0;212;0;0;0;839;26
02/23/2020;0.442917806;0.481371639;0.418672454;0.286358888;0;0;212;0;0;0;861;22
02/24/2020;0.441467053;0.485235392;0.420092312;0.286444985;0;0;212;0;0;0;880;19
02/25/2020;0.444886995;0.483319854;0.419346667;0.281317814;0;0;212;0;0;0;904;24
02/26/2020;0.451311003;0.483756754;0.4230277;0.277259993;0;0;212;0;0;0;947;43
02/27/2020;0.454240313;0.480545069;0.42278457;0.279108402;0;0;213;1;0;0;981;34
02/28/2020;0.455088504;0.476705887;0.421829671;0.278134771;0;0;213;0;0;0;1032;51
02/29/2020;0.453287855;0.461814157;0.414538158;0.283178213;0;0;214;1;0;0;1070;38
03/01/2020;0.454402315;0.476563957;0.42452749;0.27954983;0;0;214;0;0;0;1160;90
