;DateTime;Hours_of_Rain;Hours_of_Sun;Lowest_Temp;Highest_Temp;Avg_Temp
0;2020-02-01;1,9;0,7;4,6;10,1;7,9
1;2020-02-02;0,2;3,3;-0,9;7,6;4,5
2;2020-02-03;3,4;0,7;-0,8;8,4;4,3
3;2020-02-04;1,3;2,3;-3,3;7;3,3
4;2020-02-05;0;5,1;-5,7;7,6;3,1
5;2020-02-06;0;1,5;1,2;9,2;6,2
6;2020-02-07;0,1;0,1;-0,3;6,5;4,5
7;2020-02-08;1;2,3;0,6;7;4,2
8;2020-02-09;18,2;0,1;3,6;10,3;6,7
9;2020-02-10;5,5;1,5;0,3;10;5,5
10;2020-02-11;8,4;1;0,1;7,6;3,6
11;2020-02-12;6,5;1,2;0,4;6,6;3,9
12;2020-02-13;1,9;3,6;-1;7,3;3,3
13;2020-02-14;0,2;1,8;-2,3;8,9;3,4
14;2020-02-15;7,4;0,1;2;10,2;6,3
15;2020-02-16;18,5;0;3,8;14,7;8,5
16;2020-02-17;1,3;1,2;3,9;9,2;6,6
17;2020-02-18;3,8;3;2,3;8,5;5,4
18;2020-02-19;4,9;3,8;1;7,9;4,6
19;2020-02-20;10,4;0,1;1,2;8,3;5
20;2020-02-21;2,3;2,5;1,9;8,9;5,5
21;2020-02-22;10,6;1,4;1,8;9;6,5
22;2020-02-23;2,8;1,5;1,9;7,2;4,7
23;2020-02-24;3,1;0,6;0,6;7,7;4
24;2020-02-25;7,8;1,2;-0,2;8;3,7
25;2020-02-26;1,8;0,6;-4,2;5,3;1,3
26;2020-02-27;2;3,1;-6,8;6,6;0,9
27;2020-02-28;1,3;5,4;-3,1;8,3;3,6
28;2020-02-29;9;0,8;1,4;11,2;4,6
29;2020-03-01;3,3;2,4;1;7,9;4,9
30;2020-03-02;0,6;4,7;-0,8;9,6;4,3
31;2020-03-03;5,5;1,2;-2;7,9;4
32;2020-03-04;0,5;4,7;-4,2;9,2;3,5
33;2020-03-05;0,2;3,9;-2,7;7,9;2,9
34;2020-03-06;0,2;1,1;-1,6;7;3
35;2020-03-07;0,1;4,9;-3,8;9,4;3
36;2020-03-08;1,8;0,4;-0,1;10,2;6,4
37;2020-03-09;1,5;1,7;2,2;11,5;6,4
38;2020-03-10;6,3;0;1,8;9,1;5,9
39;2020-03-11;1;7,5;4;11;6,8
40;2020-03-12;6,9;3,5;1,2;9,2;5,6
41;2020-03-13;2,7;3,7;-3,8;8,7;3,9
42;2020-03-14;0;10;-7,4;7,9;2
43;2020-03-15;1,1;0,3;-0,1;11,3;6,4
44;2020-03-16;1,2;3,1;2,3;12;7
45;2020-03-17;0;1,3;1,1;11,4;6,7
46;2020-03-18;3;0,5;2,9;11;7,3
47;2020-03-19;0;7,4;-0,3;11,3;5,7
48;2020-03-20;0;8,7;-4,1;11;4,3
49;2020-03-21;0;10,5;-5,6;9;2,5
50;2020-03-22;0;8,3;-4,4;7,3;2
51;2020-03-23;0;11,1;-4,3;8,3;2,3
52;2020-03-24;0;10;-3;10,5;3,7
53;2020-03-25;0;11,1;-4,5;12;4,6
54;2020-03-26;0;11,3;-6,6;11,8;4,1
55;2020-03-27;0;11,5;-7,1;12,7;4,4
56;2020-03-28;0;8,8;-5,3;12,7;4,9
57;2020-03-29;0,5;11,2;-3;6,6;2,4
