,0
0,9.319691e-16
1,0.02800236
2,0.06963707
3,0.121336184
4,0.17951158
5,0.24103208
6,0.3033697
7,0.36148128
8,0.41711596
9,0.4680939
10,0.5120335
11,0.5365067
12,0.55062413
13,0.556124
14,0.5492374
15,0.53396606
16,0.5116351
17,0.48678142
18,0.46000922
19,0.43246868
20,0.4071578
21,0.3826662
22,0.35763693
23,0.3329905
24,0.30877241
25,0.28599367
26,0.26513514
27,0.24539362
28,0.22664973
29,0.20957147
30,0.19564594
31,0.1825903
32,0.17153762
33,0.16314322
34,0.15582462
35,0.15117738
36,0.14638202
37,0.14221406
38,0.13838631
39,0.13406305
40,0.12989794
41,0.12625833
42,0.1243812
43,0.12305455
44,0.1217305
45,0.11944147
46,0.11682791
47,0.11334358
48,0.109301955
49,0.10547025
50,0.10100917
51,0.09664274
52,0.09252106
53,0.08859233
54,0.08538495
55,0.082088724
56,0.079705335
57,0.07796127
58,0.07681191
59,0.07748597
60,0.0797585
61,0.08409491
62,0.092058025
63,0.10300272
64,0.11992708
65,0.1454213
66,0.17806152
67,0.22455893
68,0.29413083
69,0.3670326
70,0.43866217
71,0.4980747
72,0.54231185
73,0.5749728
74,0.6005805
75,0.6139914
76,0.6179458
77,0.61164325
78,0.59515107
79,0.571479
80,0.5429224
81,0.51101696
82,0.47685316
83,0.44106266
84,0.40451056
85,0.36830583
86,0.33290094
87,0.29898295
88,0.26695964
89,0.2371552
90,0.20968668
91,0.18459949
92,0.16191211
93,0.14153735
94,0.12335158
95,0.10720377
96,0.092954315
97,0.08044458
98,0.06947572
99,0.05990948
100,0.051595945
101,0.044423062
102,0.03821374
103,0.032854114
104,0.028228354
105,0.024239838
106,0.020814141
107,0.01789919
108,0.015402256
109,0.013250962
110,0.0113957785
111,0.009800772
112,0.008425908
113,0.0072456654
114,0.0062283063
115,0.0053506577
116,0.004594355
117,0.003942017
118,0.0033797487
119,0.002895674
120,0.0024791243
121,0.0021206513
122,0.0018128119
123,0.0015485475
124,0.0013221401
125,0.0011291957
126,0.0009648805
127,0.0008247139
128,0.0007054003
129,0.0006037573
130,0.0005170475
131,0.00044300852
132,0.00037989937
133,0.000326018
134,0.00028003525
135,0.00024074686
136,0.0002071466
137,0.00017827624
138,0.00015349002
139,0.00013216647
140,0.0001137789
141,9.797347e-05
142,8.433054e-05
143,7.255148e-05
144,6.241518e-05
145,5.3645952e-05
146,4.6080848e-05
147,3.9554405e-05
148,3.3925997e-05
149,2.907504e-05
150,2.4896131e-05
151,2.1298436e-05
152,1.8205546e-05
153,1.5550684e-05
